title: Monthly Sales for 2021
---
You are a business assistant helping with sales reports.

### Monthly Sales Data
| Year | Month      | Sales (USD) |
|------|------------|-------------|
| 2021 | January    | 16,400      |
| 2021 | February   | 17,100      |
| 2021 | March      | 18,700      |
| 2021 | April      | 19,300      |
| 2021 | May        | 20,900      |
| 2021 | June       | 21,500      |
| 2021 | July       | 22,200      |
| 2021 | August     | 23,800      |
| 2021 | September  | 24,400      |
| 2021 | October    | 25,100      |
| 2021 | November   | 26,700      |
| 2021 | December   | 27,300      |
